"software","client",Count
"__missing__","Plutof.  Data Management and Publishing Platform",2362683
"__missing__","International Treaty on Plant Genetic Resources for Food and Agriculture",1091269
"__missing__","Harvard Dataverse",445651
"__missing__","Deutsches Institut für Erwachsenenbildung",373193
"__missing__",PARADISEC,313859
"__missing__","UCD Digital Library",230801
"__missing__","Leibniz-Institut für Astrophysik Potsdam (AIP)",220406
"__missing__","Imperial College London",212095
"__missing__",PANGAEA,209700
"__missing__","Genebank Information System of the IPK Gatersleben",208786
"__missing__","Repositório 1 da Fiocruz",204687
"__missing__","Technische Universität Berlin – Universitätsbibliothek",171197
"__missing__","DOE Lawrence Berkeley National Laboratory (LBNL) Repository",144981
"__missing__","Barcode of Life Data Systems",129791
"__missing__","Open Science Framework",126007
"__missing__",EASY,124036
"__missing__","Universitäts- und Landesbibliothek Sachsen-Anhalt",113040
"__missing__","Instytut Biologii Ssaków Polskiej Akademii Nauk",104515
"__missing__",DataverseNO,102967
"__missing__",NAKALA,98877
"__missing__","Atlas of Living Australia",92371
"__missing__","NRCT Data Center",88612
"__missing__","Mendeley Data",81680
"__missing__","TIB Hannover",75387
"__missing__","__other__",1818304
DSpace,Apollo,77956
DSpace,"ETH Zürich Research Collection",34398
DSpace,"Digital CSIC",14049
DSpace,"Det Kgl. Bibliotek",7593
DSpace,"IUPUI University Library",2968
DSpace,"TUHH Open Research",2217
DSpace,"TIB Repositorium",1853
DSpace,"Staats- und Universitätsbibliothek Bremen",1348
DSpace,"Universitätsbibliothek Siegen",552
DSpace,"Mines Repository",519
DSpace,OpenHSU,418
DSpace,AUrora,380
DSpace,LOAR,211
DSpace,TUdatalib,202
DSpace,DataDOI,137
DSpace,MEDIAREP,100
DSpace,RICAXCAN,95
DSpace,"Zentrum für Informationsdienste und Hochleistungsrechnen (TU Dresden)",36
DSpace,QsarDB,14
DSpace,DataSpace,9
DSpace,"repOS - Das Open Science Repository der HCU",6
DSpace,"Smithsonian Research Online",3
DSpace,"ZHAW Digital Collection",1
Dataverse,"Data INRAE",67578
Dataverse,DataverseNL,6019
Dataverse,"Johns Hopkins University Library",5937
Dataverse,"Odum Institute Dataverse",1432
Dataverse,"Repositorio de Datos de Investigación de la Universidad de Chile",770
Dataverse,"Harvard  SBGrid",714
Dataverse,RepOD,621
Dataverse,"FU Berlin - TRR170-DB",526
Dataverse,DataRepositoriUM,322
Dataverse,"Centre de données socio-politiques",222
Dataverse,"Université Gustave Eiffel research data",100
Dataverse,"Rede Nacional de Ensino e Pesquisa RNP",43
Dataverse,"Research Data Repository",19
Dataverse,"Instituto Politécnico de Bragança",17
Dataverse,"UNC Libraries",15
Dataverse,"Repositorio Dataverse ITESM",10
Dataverse,"Repositório 1 da Fiocruz",8
Dataverse,DATICE,5
Dataverse,"Istituto Italiano di Tecnologia",1
Invenio,Zenodo,14138
Invenio,CaltechDATA,1109
Invenio,"National Academic Digital Repository of Ethiopia",934
Invenio,B2SHARE,38
Invenio,"Forschungsdatenrepositorium der Universität Innsbruck",1
Other,"DuEPublico, Universitätsbibliothek Duisburg-Essen",3625
Other,"Onassis Foundation Cavafy Archive",2069
Other,"FreiDok plus",1783
Other,PDS,1701
Other,"Digitale Bibliothek - Der Publikationsserver der TU Braunschweig",716
Other,"GFZ Data Services",633
Other,"Illinois Data Bank",532
Other,"Mercator Ocean Journal",238
Other,"Brandeis ScholarWorks",195
Other,"Utrecht University - YODA",159
Other,"Bibliothek des Wissenschaftsparks Albert Einstein",123
Other,"Incorporated Research Institutions for Seismology",55
Other,"Digital Antiquity (TDAR)",32
Other,"Project BioFresh, Leibniz-Institute of Freshwater Ecology and Inland Fisheries",29
Other,"Stanford Digital Repository",19
Other,"pub H-BRS - Publikationsserver der Hochschule Bonn-Rhein-Sieg",15
Other,"National Data Archive on Child Abuse and Neglect",10
Other,"Aberystwyth Research Portal",7
Other,DRYAD,7
Other,"Herder-Institut für historische Ostmitteleuropaforschung",6
Other,"]a[repository",6
Other,"National Oceanic and Atmospheric Administration (NOAA) National Centers for Environmental Information (NCEI)",4
Other,GFZpublic,3
Other,"EDP Metadata Catalogue - Eurac Research",2
Other,"__other__",8
EPrints,"Bern Open Research Information System (BORIS)",4016
EPrints,"University of Bath",153
EPrints,"EPub Bayreuth",5
EPrints,"LBS Research Online",4
EPrints,"Magyar Tudományos Akadémia Könyvtár és Információs Központ",3
EPrints,"Sheffield Hallam University",3
CKAN,EnviDat,379
CKAN,"Columbia Basin Water Hub",192
CKAN,"Forschungsdaten-Repositorium der LUH",134
CKAN,"TIB Data Manager",7
Unknown,"Vlaams Instituut voor de Zee",240
Unknown,"The Cancer Imaging Archive",19
Unknown,"KNMI Data Centre",2
Fedora,"Columbia University Libraries",54
Fedora,"Materials Data Repository",2
Samvera,"British Library Research Repository",29
Samvera,MOLA,3
Samvera,"Materials Data Repository",2
